id,min_acc,lqt_acc,med_acc,uqt_acc,max_acc,avg_acc,avg_tme,size
efficientnet,0.8930,0.9025,0.9120,0.9215,0.9310,0.9120,425.5130,5330571 
inceptionresnetv2,0.7195,0.7755,0.8314,0.8874,0.9433,0.8314,854.9954,2000000
mobilenet,0.8930,0.8984,0.9037,0.9091,0.9144,0.9037,225.5836,4253864
mobilenetv2,0.8353,0.8553,0.8753,0.8953,0.9152,0.8753,269.3733,2000000
mobilenetv3,0.8393,0.8434,0.8476,0.8517,0.8559,0.8476,114.5710,2000000
nasnetlarge,0.8941,0.8957,0.8973,0.8989,0.9005,0.8973,2308.7047,88949818
nasnetmobile,0.8842,0.8880,0.8917,0.8955,0.8992,0.8917,540.7383,5326716 
resnetv2,0.8928,0.8971,0.9013,0.9056,0.9099,0.9013,428.7198,2000000
vgg16,0.8757,0.8757,0.8757,0.8757,0.8757,0.8757,585.2634,138357544
vgg19,0.9064,0.9070,0.9075,0.9080,0.9086,0.9075,706.0560,143667240
xception,0.9011,0.9141,0.9271,0.9402,0.9532,0.9271,775.1667,22910480
